,product,category,sub_category,brand,sale_price,market_price,image_url,p_url,type,eancode,rating,description
10,"Lizol Floor Cleaner, Floral - 2L + Harpic Toilet Cleaner Liquid - Original 1L",Cleaning & Household,All Purpose Cleaners,bb Combo,483,540,https://www.bigbasket.com/media/uploads/p/s/1208976_2-bb-combo-lizol-floor-cleaner-floral-2l-harpic-toilet-cleaner-liquid-original-1l.jpg,https://www.bigbasket.com/pd/1208976/bb-combo-lizol-floor-cleaner-floral-2l-harpic-toilet-cleaner-liquid-original-1l-combo/,Floor & Other Cleaners,Invalid Code,,"Lizol

Lizol is Indias No.1 Household Cleaning Brand which is highly recommended by the Indian Medical Association. Lizol guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your room smelling fragrant with a wide variety of mesmerising aromas.
Removes 100 types of Stains & Germs.
Use directly or diluted for regular use. Suitable for cleaning all kinds of surfaces.
Leaves a Pleasant Fragrance.
Available Variants: Pine, Floral, Citrus, Jasmine, Lavender, Sandal, and Neem Available Sizes: 200ml, 500ml, 975ml, and 2L

Harpic

Harpic is Indias No.1 Toilet Cleaning Brand which is highly recommended by the Indian Medical Association. Harpic guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your toilets and bathrooms smelling fragrant with a wide variety of mesmerising aromas.
Removes 10 times more yellowish and tough stains
A strategically bent bottleneck shape helps pour the liquid into deep corners under the toilet rim.
The thick liquid clings and cleans from rim to U-bend.
Available in three scents: Original, Orange, and Rose. Available Sizes: 200ml, 500ml, 750 ml and 1L"
11,Double Concentrate Surface Cleaner 900 ml + Harpic Power Plus Toilet Cleaner 1 L,Cleaning & Household,All Purpose Cleaners,Lizol,415,503,https://www.bigbasket.com/media/uploads/p/s/1213748_1-lizol-double-concentrate-surface-cleaner-900-ml-harpic-power-plus-toilet-cleaner-1-l.jpg,https://www.bigbasket.com/pd/1213748/lizol-double-concentrate-surface-cleaner-900-ml-harpic-power-plus-toilet-cleaner-1-l-combo/,Floor & Other Cleaners,Invalid Code,,"Lizol Double Concentrate Disinfectant Surface Cleaner - Citrus, Kills 99.9% Germs, 900 ml
Lizol Double Concentrate Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% of germs to make your home surfaces safe to touch. This surface cleaner also gives 10 times better disinfection and cleaning standard phenyls & detergents, to keep the surfaces in your home protected from illness-causing germs. 
Just use half a cap of Lizol Double Concentrate for effective disinfection and a pleasant citrus fragrance. Lizol liquid surface cleaner is suitable for all floor types in India. The product is perfect for floors, tiles, sinks, kitchen counters and all other washable surfaces in your home.
Harpic Power Plus Disinfectant Toilet Cleaner - Original, 1 L
Harpic All in One is the one-stop-shop for all toilet cleaning needs. Unlike ordinary cleaners, it combines the benefits of Tough stain removal and kills 99.9% of germs. The result is a sparkling clean, hygienic, fresh and germ-free toilet without any malodour. With every use of Harpic, you get freshness. It has 5 times better power at limescale removal as compared to ordinary cleaners."
12,"Lizol Floor Cleaner, Citrus - 500ml + Harpic Bathroom Cleaning Liquid - Lemon 500ml",Cleaning & Household,All Purpose Cleaners,bb Combo,171.73,188,https://www.bigbasket.com/media/uploads/p/s/1208851_4-bb-combo-lizol-floor-cleaner-citrus-500ml-harpic-bathroom-cleaning-liquid-lemon-500ml.jpg,https://www.bigbasket.com/pd/1208851/bb-combo-lizol-floor-cleaner-citrus-500ml-harpic-bathroom-cleaning-liquid-lemon-500ml-combo/,Floor & Other Cleaners,Invalid Code,,"Lizol: 
Lizol is Indias No.1 Household Cleaning Brand which is highly recommended by the Indian Medical Association. Lizol guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your room smelling fragrant with a wide variety of mesmerising aromas.

Removes 100 types of Stains & Germs.
 Use directly or diluted for regular use. 
Suitable for cleaning all kinds of surfaces.
Leaves a Pleasant Fragrance.
Available Variants: Pine, Floral, Citrus, Jasmine, Lavender, Sandal, and Neem in sizes: 200ml, 500ml, 975ml, and 2L.

Harpic:
Harpic is Indias No.1 Toilet Cleaning Brand which is highly recommended by the Indian Medical Association. Harpic guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your toilets and bathrooms smelling fragrant with a wide variety of mesmerising aromas.

Effective on tiles, floor, basin, and most bathroom surfaces.
Thick liquid formula with powerful cleaning agents.
Removes tough stains and leaves a pleasant fresh fragrance.
Available in variants: Lemon, Floral Available Sizes: 500ml and 1L."
13,Liquid Disinfectant Cleaner for Home - Lime Fresh,Cleaning & Household,All Purpose Cleaners,Dettol,317.3,386,https://www.bigbasket.com/media/uploads/p/s/1212007_5-dettol-liquid-disinfectant-cleaner-for-home-lime-fresh.jpg,https://www.bigbasket.com/pd/1212007/dettol-liquid-disinfectant-cleaner-for-home-lime-fresh-2x500-ml/,Disinfectant Spray & Cleaners,Invalid Code,4.4,"Dettol Disinfectant Multipurpose Liquid cleaner provides protection to you and your family against illness-causing germs and Coronavirus causing COVID19 virus. Proven to be >99.9% effective at inactivating SARS-CoV-2, the virus that causes COVID19, when used at 1:12 dilutions with 5 minutes contact time when tested under dirty conditions; As per standard testing protocol. This disinfectant liquid sanitizes your home and also helps maintain your personal hygiene. It can be used in bath, laundry, floor and surface cleaning, leaving everything clean and fresh. This multipurpose disinfectant cleaner for home is recommended by the Indian Medical Association."
14,"Disinfectant Floor Cleaner Liquid - Floral, Kills 99.9% Germs",Cleaning & Household,All Purpose Cleaners,Lizol,444.99,564,https://www.bigbasket.com/media/uploads/p/s/1207196_2-lizol-disinfectant-floor-cleaner-liquid-floral-kills-999-germs.jpg,https://www.bigbasket.com/pd/1207196/lizol-disinfectant-floor-cleaner-liquid-floral-kills-999-germs-3x975-ml/,Floor & Other Cleaners,Invalid Code,4.3,"Lizol is Indias No.1 Household Cleaning Brand which is highly recommended by the Indian Medical Association. Lizol guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your room smelling fragrant with a wide variety of mesmerising aromas.Removes 100 types of Stains & Germs.Use directly or diluted for regular use. Suitable for cleaning all kinds of surfaces.Leaves a Pleasant Fragrance.Available Variants: Pine, Floral, Citrus, Jasmine, Lavender, Sandal and Neem Available Sizes: 200ml, 500ml, 975ml and 2L"
15,"Floor Cleaner - Citrus 500 ml + Floral - 500 ml, Kills 99.9% Germs",Cleaning & Household,All Purpose Cleaners,Lizol,161.78,191,https://www.bigbasket.com/media/uploads/p/s/1202436_9-lizol-floor-cleaner-citrus-500-ml-floral-500-ml-kills-999-germs.jpg,https://www.bigbasket.com/pd/1202436/lizol-floor-cleaner-citrus-500-ml-floral-500-ml-kills-999-germs-combo/,Floor & Other Cleaners,Invalid Code,,"Lizol is Indias No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizols comprehensive 3 in 1 home-care solution. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier, and germ-free. The product is available in 8 different fragrances and is perfect for floors, tiles, sinks, kitchen counters, and all other washable surfaces in your home. Lizol disinfectant liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavily soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor, furniture, and even the pets disinfected and clean. For instructions on cleaning different surfaces using Lizol read on."
16,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 2 L + Floral 2 L],Cleaning & Household,All Purpose Cleaners,Lizol,613,742,https://www.bigbasket.com/media/uploads/p/s/1202437_6-lizol-disinfectant-surface-floor-cleaner-liquid-citrus-2-l-floral-2-l.jpg,https://www.bigbasket.com/pd/1202437/lizol-disinfectant-surface-floor-cleaner-liquid-citrus-2-l-floral-2-l-combo/,Floor & Other Cleaners,Invalid Code,,"Lizol is Indias No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizols comprehensive 3 in 1 home-care solution. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier, and germ-free. The product is available in 8 different fragrances and is perfect for floors, tiles, sinks, kitchen counters, and all other washable surfaces in your home. Lizol disinfectant liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavily soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor, furniture, and even the pets disinfected and clean. For instructions on cleaning different surfaces using Lizol read on."
17,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 975 ml + Floral 975 ml],Cleaning & Household,All Purpose Cleaners,Lizol,333,376,https://www.bigbasket.com/media/uploads/p/s/1200284_2-lizol-disinfectant-surface-floor-cleaner-liquid-citrus-975-ml-floral-975-ml.jpg,https://www.bigbasket.com/pd/1200284/lizol-disinfectant-surface-floor-cleaner-liquid-citrus-975-ml-floral-975-ml-combo/,Floor & Other Cleaners,Invalid Code,,"Lizol Disinfectant Surface Cleaner - Citrus 975 ml + Floor Cleaner - Floral 975 ml Combo


Give your home 10x better cleaning and germ kill than phenyl & detergents with this specially formulated Lizol Surface Cleaner that now comes in a citrus fragrance. Proven to kill 99.9% germs* and viruses? like H1N1 & RSV. *As per standard testing protocol. ?Upon neat usage on hard non-porous surfaces. As per usage instructions on the pack.





Floor & Bathroom Surfaces: Use one capful in half a bucket of water (4 litres). Gently mop the surface. No need to rinse. Kitchen Surfaces: Use undiluted. Apply on dirty area, leave for 10 minutes and rinse. Safe on all surfaces: Ceramic, Marble Granite, Mosaic, etc.
Kills 99.9% germs & viruses
10x better cleaning and germ kill vs phenyls and detergent
Recommended by Indian Medical Association"
18,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 2 L + Lavender 2 L],Cleaning & Household,All Purpose Cleaners,Lizol,631,742,https://www.bigbasket.com/media/uploads/p/s/1202438_6-lizol-disinfectant-surface-floor-cleaner-liquid-citrus-2-l-lavender-2-l.jpg,https://www.bigbasket.com/pd/1202438/lizol-disinfectant-surface-floor-cleaner-liquid-citrus-2-l-lavender-2-l-combo/,Floor & Other Cleaners,Invalid Code,,"Lizol is Indias No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizols comprehensive 3 in 1 home-care solution. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier, and germ-free. The product is available in 8 different fragrances and is perfect for floors, tiles, sinks, kitchen counters, and all other washable surfaces in your home. Lizol disinfectant liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavily soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor, furniture, and even the pets disinfected and clean. For instructions on cleaning different surfaces using Lizol read on."
19,"Disinfectant Surface & Floor Cleaner - [Citrus, Floral & Lavender (500 ml Each)]",Cleaning & Household,All Purpose Cleaners,Lizol,252.78,289,https://www.bigbasket.com/media/uploads/p/s/1202439_5-lizol-disinfectant-surface-floor-cleaner-citrus-floral-lavender-500-ml-each.jpg,https://www.bigbasket.com/pd/1202439/lizol-disinfectant-surface-floor-cleaner-citrus-floral-lavender-500-ml-each-combo/,Floor & Other Cleaners,Invalid Code,,"Lizol is Indias No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizols comprehensive 3 in 1 home-care solution. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier, and germ-free. The product is available in 8 different fragrances and is perfect for floors, tiles, sinks, kitchen counters, and all other washable surfaces in your home. Lizol disinfectant liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavily soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor, furniture, and even the pets disinfected and clean. For instructions on cleaning different surfaces using Lizol read on."
